Input arguments:
id               resnet50_upernet_0.2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.2
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/learning_rate/
disp_iter        20
Model ID: resnet50_upernet_0.2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.2-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [6][80/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015291, lr_decoder: 0.152914, Accuracy: 99.93, IOU: 0.215405 Loss: 0.003078
Epoch: [6][100/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015254, lr_decoder: 0.152543, Accuracy: 99.93, IOU: 0.218476 Loss: 0.003291
Epoch: [6][120/500], Time: 1.05, Data: 0.04, lr_encoder: 0.015217, lr_decoder: 0.152172, Accuracy: 99.93, IOU: 0.223862 Loss: 0.003177
Epoch: [6][140/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015180, lr_decoder: 0.151800, Accuracy: 99.93, IOU: 0.226841 Loss: 0.003368
Epoch: [6][160/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015143, lr_decoder: 0.151429, Accuracy: 99.93, IOU: 0.227475 Loss: 0.003371
Epoch: [6][180/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015106, lr_decoder: 0.151058, Accuracy: 99.93, IOU: 0.234086 Loss: 0.003486
Epoch: [6][200/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015069, lr_decoder: 0.150686, Accuracy: 99.92, IOU: 0.232614 Loss: 0.003657
Epoch: [6][220/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015031, lr_decoder: 0.150315, Accuracy: 99.92, IOU: 0.235207 Loss: 0.003651
Epoch: [6][240/500], Time: 1.06, Data: 0.04, lr_encoder: 0.014994, lr_decoder: 0.149943, Accuracy: 99.92, IOU: 0.236471 Loss: 0.003630
Epoch: [6][260/500], Time: 1.07, Data: 0.04, lr_encoder: 0.014957, lr_decoder: 0.149571, Accuracy: 99.92, IOU: 0.240674 Loss: 0.003594
Epoch: [6][280/500], Time: 1.06, Data: 0.04, lr_encoder: 0.014920, lr_decoder: 0.149200, Accuracy: 99.93, IOU: 0.238066 Loss: 0.003485
