Input arguments:
id               resnet50_upernet_train
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_100x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/upsampling/
disp_iter        20
Model ID: resnet50_upernet_train-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 60560
1 Epoch = 500 iters
Epoch: [3][0/500], Time: 0.67, Data: 0.00, lr_encoder: 0.018192, lr_decoder: 0.018192, Accuracy: 89.74, IOU: 0.011025 Loss: 0.144564
Epoch: [3][20/500], Time: 1.04, Data: 0.04, lr_encoder: 0.018156, lr_decoder: 0.018156, Accuracy: 95.53, IOU: 0.017297 Loss: 0.089684
Epoch: [3][40/500], Time: 1.04, Data: 0.04, lr_encoder: 0.018120, lr_decoder: 0.018120, Accuracy: 96.20, IOU: 0.021547 Loss: 0.075157
Epoch: [3][60/500], Time: 1.05, Data: 0.04, lr_encoder: 0.018083, lr_decoder: 0.018083, Accuracy: 96.65, IOU: 0.025120 Loss: 0.066482
Epoch: [3][80/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018047, lr_decoder: 0.018047, Accuracy: 96.86, IOU: 0.026239 Loss: 0.065222
Epoch: [3][100/500], Time: 1.07, Data: 0.04, lr_encoder: 0.018010, lr_decoder: 0.018010, Accuracy: 96.77, IOU: 0.025714 Loss: 0.070779
Epoch: [3][120/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017974, lr_decoder: 0.017974, Accuracy: 96.48, IOU: 0.024978 Loss: 0.075857
Epoch: [3][140/500], Time: 1.05, Data: 0.04, lr_encoder: 0.017938, lr_decoder: 0.017938, Accuracy: 96.42, IOU: 0.023598 Loss: 0.076483
Epoch: [3][160/500], Time: 1.04, Data: 0.04, lr_encoder: 0.017901, lr_decoder: 0.017901, Accuracy: 96.56, IOU: 0.024108 Loss: 0.073448
Epoch: [3][180/500], Time: 1.05, Data: 0.04, lr_encoder: 0.017865, lr_decoder: 0.017865, Accuracy: 96.67, IOU: 0.025146 Loss: 0.072060
Epoch: [3][200/500], Time: 1.05, Data: 0.04, lr_encoder: 0.017828, lr_decoder: 0.017828, Accuracy: 96.69, IOU: 0.026407 Loss: 0.073013
Epoch: [3][220/500], Time: 1.04, Data: 0.04, lr_encoder: 0.017792, lr_decoder: 0.017792, Accuracy: 96.64, IOU: 0.026145 Loss: 0.074238
Epoch: [3][240/500], Time: 1.05, Data: 0.04, lr_encoder: 0.017755, lr_decoder: 0.017755, Accuracy: 96.60, IOU: 0.026010 Loss: 0.072953
Epoch: [3][260/500], Time: 1.05, Data: 0.04, lr_encoder: 0.017719, lr_decoder: 0.017719, Accuracy: 96.65, IOU: 0.026484 Loss: 0.071945
Epoch: [3][280/500], Time: 1.05, Data: 0.04, lr_encoder: 0.017682, lr_decoder: 0.017682, Accuracy: 96.61, IOU: 0.026211 Loss: 0.072873
Epoch: [3][300/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017646, lr_decoder: 0.017646, Accuracy: 96.69, IOU: 0.027326 Loss: 0.071448
Epoch: [3][320/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017609, lr_decoder: 0.017609, Accuracy: 96.73, IOU: 0.027997 Loss: 0.071299
Epoch: [3][340/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017573, lr_decoder: 0.017573, Accuracy: 96.71, IOU: 0.027713 Loss: 0.072737
Epoch: [3][360/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017536, lr_decoder: 0.017536, Accuracy: 96.72, IOU: 0.028124 Loss: 0.071606
Epoch: [3][380/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017500, lr_decoder: 0.017500, Accuracy: 96.79, IOU: 0.028374 Loss: 0.070038
Epoch: [3][400/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017463, lr_decoder: 0.017463, Accuracy: 96.84, IOU: 0.029189 Loss: 0.069046
Epoch: [3][420/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017427, lr_decoder: 0.017427, Accuracy: 96.89, IOU: 0.030174 Loss: 0.068560
Epoch: [3][440/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017390, lr_decoder: 0.017390, Accuracy: 96.92, IOU: 0.030467 Loss: 0.068052
Epoch: [3][460/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017354, lr_decoder: 0.017354, Accuracy: 96.97, IOU: 0.030688 Loss: 0.067571
Epoch: [3][480/500], Time: 1.06, Data: 0.04, lr_encoder: 0.017317, lr_decoder: 0.017317, Accuracy: 97.00, IOU: 0.030633 Loss: 0.067630
Saving checkpoints...
Epoch: [4][0/500], Time: 0.96, Data: 0.00, lr_encoder: 0.017280, lr_decoder: 0.017280, Accuracy: 98.80, IOU: 0.059855 Loss: 0.029427
