Input arguments:
id               resnet50_upernet_train2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [4][300/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016731, lr_decoder: 0.016731, Accuracy: 99.69, IOU: 0.117363 Loss: 0.011349
Epoch: [4][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016694, lr_decoder: 0.016694, Accuracy: 99.69, IOU: 0.116040 Loss: 0.011170
Epoch: [4][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016657, lr_decoder: 0.016657, Accuracy: 99.69, IOU: 0.114607 Loss: 0.011180
Epoch: [4][360/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016620, lr_decoder: 0.016620, Accuracy: 99.69, IOU: 0.115777 Loss: 0.011310
Epoch: [4][380/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016584, lr_decoder: 0.016584, Accuracy: 99.69, IOU: 0.113850 Loss: 0.011481
Epoch: [4][400/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016547, lr_decoder: 0.016547, Accuracy: 99.69, IOU: 0.115590 Loss: 0.011272
Epoch: [4][420/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016510, lr_decoder: 0.016510, Accuracy: 99.69, IOU: 0.114947 Loss: 0.011363
Epoch: [4][440/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016473, lr_decoder: 0.016473, Accuracy: 99.69, IOU: 0.113504 Loss: 0.011468
Epoch: [4][460/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016436, lr_decoder: 0.016436, Accuracy: 99.69, IOU: 0.112203 Loss: 0.011348
Epoch: [4][480/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016400, lr_decoder: 0.016400, Accuracy: 99.69, IOU: 0.112705 Loss: 0.011326
Saving checkpoints...
Epoch: [5][0/500], Time: 1.08, Data: 0.00, lr_encoder: 0.016363, lr_decoder: 0.016363, Accuracy: 99.83, IOU: 0.230769 Loss: 0.005329
Epoch: [5][20/500], Time: 0.97, Data: 0.04, lr_encoder: 0.016326, lr_decoder: 0.016326, Accuracy: 99.75, IOU: 0.115618 Loss: 0.010843
Epoch: [5][40/500], Time: 1.02, Data: 0.04, lr_encoder: 0.016289, lr_decoder: 0.016289, Accuracy: 99.71, IOU: 0.122545 Loss: 0.011452
Epoch: [5][60/500], Time: 1.04, Data: 0.04, lr_encoder: 0.016252, lr_decoder: 0.016252, Accuracy: 99.68, IOU: 0.102996 Loss: 0.013739
Epoch: [5][80/500], Time: 1.06, Data: 0.04, lr_encoder: 0.016216, lr_decoder: 0.016216, Accuracy: 99.66, IOU: 0.105940 Loss: 0.013832
Epoch: [5][100/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016179, lr_decoder: 0.016179, Accuracy: 99.67, IOU: 0.104410 Loss: 0.012755
Epoch: [5][120/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016142, lr_decoder: 0.016142, Accuracy: 99.67, IOU: 0.098845 Loss: 0.013334
Epoch: [5][140/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016105, lr_decoder: 0.016105, Accuracy: 99.68, IOU: 0.105471 Loss: 0.012601
Epoch: [5][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016068, lr_decoder: 0.016068, Accuracy: 99.70, IOU: 0.106904 Loss: 0.011862
